id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-07-30 18:52:43,"{""short_code"":""7EFsGw"",""original_url"":""https://acme.dev/calm/delta/1""}"
2,2,382,created,2025-01-20 08:06:47,"{""short_code"":""ptof25"",""original_url"":""https://seeded.app/mellow/yard/2""}"
3,3,64,created,2025-11-03 12:10:51,"{""short_code"":""6pOPAR"",""original_url"":""https://relay.cloud/cobalt/engine/3""}"
4,4,331,created,2025-11-17 00:10:18,"{""short_code"":""o8kaUi"",""original_url"":""https://example.com/proud/zenith/4""}"
5,5,315,created,2026-01-18 13:57:24,"{""short_code"":""MG5rft"",""original_url"":""https://hackstack.io/young/signal/5""}"
6,6,113,created,2025-09-07 21:19:54,"{""short_code"":""PFs8CY"",""original_url"":""https://seeded.app/amber/harvest/6""}"
7,7,331,created,2025-10-31 23:50:45,"{""short_code"":""MruwTt"",""original_url"":""https://seeded.app/amber/lagoon/7""}"
8,8,4,created,2025-03-17 00:01:29,"{""short_code"":""n4bU3X"",""original_url"":""https://seeded.app/rapid/zenith/8""}"
9,9,333,created,2025-04-27 00:42:31,"{""short_code"":""GrdoZY"",""original_url"":""https://relay.cloud/urban/valley/9""}"
10,10,249,created,2025-11-08 06:01:49,"{""short_code"":""8uryoK"",""original_url"":""https://seeded.app/clear/orbit/10""}"
11,11,269,created,2025-05-30 23:39:59,"{""short_code"":""b9JJLE"",""original_url"":""https://opswise.net/silver/field/11""}"
12,12,19,created,2025-04-25 19:15:24,"{""short_code"":""H9JbOC"",""original_url"":""https://acme.dev/urban/meadow/12""}"
13,13,377,created,2025-02-13 05:34:59,"{""short_code"":""jBxzyS"",""original_url"":""https://hackstack.io/cobalt/delta/13""}"
14,14,246,created,2025-08-24 20:10:39,"{""short_code"":""oIeKH2"",""original_url"":""https://relay.cloud/urban/window/14""}"
15,15,203,created,2025-06-03 21:25:25,"{""short_code"":""XT2Ttk"",""original_url"":""https://relay.cloud/dawn/kernel/15""}"
16,16,389,created,2025-03-18 20:14:26,"{""short_code"":""A6jnTN"",""original_url"":""https://opswise.net/forest/lagoon/16""}"
17,17,207,created,2025-10-29 03:38:37,"{""short_code"":""Cw7ia2"",""original_url"":""https://acme.dev/tidy/meadow/17""}"
18,18,248,created,2025-06-11 18:20:48,"{""short_code"":""l67SJb"",""original_url"":""https://relay.cloud/vivid/yard/18""}"
19,19,121,created,2025-09-01 01:52:47,"{""short_code"":""jSa4fS"",""original_url"":""https://acme.dev/mellow/valley/19""}"
20,20,288,created,2025-09-14 00:06:30,"{""short_code"":""8DZQbE"",""original_url"":""https://acme.dev/vivid/kernel/20""}"
21,21,76,created,2025-11-11 07:29:59,"{""short_code"":""SNhGhb"",""original_url"":""https://seeded.app/tidy/meadow/21""}"
22,22,387,created,2025-02-24 19:03:53,"{""short_code"":""PoZEB6"",""original_url"":""https://opswise.net/ivory/uplink/22""}"
23,23,209,created,2025-03-22 04:03:05,"{""short_code"":""o7q3Yv"",""original_url"":""https://relay.cloud/lively/yard/23""}"
24,24,191,created,2025-11-03 16:56:24,"{""short_code"":""kdzMu7"",""original_url"":""https://relay.cloud/mellow/signal/24""}"
